authority_id,jurisdiction_id,effective_from,effective_to,evidence_url,status
us:authority:mi:county-clerk:washtenaw-county-clerk,us:mi:county:washtenaw,,,https://www.washtenaw.org/304/Elections,verified
us:authority:mi:county-clerk:wayne-county-clerk,us:mi:county:wayne,,,https://www.waynecounty.com/elected/clerk/elections.aspx,verified
us:authority:mi:county-clerk:oakland-county-clerk,us:mi:county:oakland,,,https://www.oakgov.com/government/clerk-register-of-deeds/elections-voting,verified
us:authority:mi:county-clerk:macomb-county-clerk,us:mi:county:macomb,,,https://clerk.macombgov.org/Clerk-Elections,verified
us:authority:mi:county-clerk:ingham-county-clerk,us:mi:county:ingham,,,https://clerk.ingham.org/departments_and_officials/county_clerk/elections.php,verified
us:authority:mi:county-clerk:kent-county-clerk,us:mi:county:kent,,,https://www.accesskent.com/Departments/Elections/,verified
us:authority:mi:county-clerk:genesee-county-clerk,us:mi:county:genesee,,,https://www.geneseecountymi.gov/departments/county_clerk/elections/index.php,verified
us:authority:mi:county-clerk:ottawa-county-clerk,us:mi:county:ottawa,,,https://www.miottawa.org/departments/county-clerk/elections/,verified
us:authority:mi:county-clerk:kalamazoo-county-clerk,us:mi:county:kalamazoo,,,https://www.kalcounty.com/clerk/elections.php,verified
us:authority:mi:county-clerk:jackson-county-clerk,us:mi:county:jackson,,,https://www.mijackson.org/170/Elections,verified
us:authority:mi:county-clerk:allegan-county-clerk,us:mi:county:allegan,,,https://www.allegancounty.org/departments/county-clerk/elections,verified
us:authority:mi:county-clerk:barry-county-clerk,us:mi:county:barry,,,https://www.barrycounty.org/departments_and_officials/officials/county_clerk/elections.php,verified
us:authority:mi:county-clerk:bay-county-clerk,us:mi:county:bay,,,https://www.baycountymi.gov/Clerk/Elections/,verified
us:authority:mi:county-clerk:berrien-county-clerk,us:mi:county:berrien,,,https://www.berriencounty.org/169/Elections,verified
us:authority:mi:county-clerk:calhoun-county-clerk,us:mi:county:calhoun,,,https://www.calhouncountymi.gov/departments/clerk_and_register_of_deeds/elections.php,verified
us:authority:mi:county-clerk:clinton-county-clerk,us:mi:county:clinton,,,https://www.clinton-county.org/228/Elections,verified
us:authority:mi:county-clerk:eaton-county-clerk,us:mi:county:eaton,,,https://www.eatoncounty.org/241/Elections,verified
us:authority:mi:county-clerk:grand-traverse-county-clerk,us:mi:county:grand-traverse,,,https://www.gtcountymi.gov/2219/Elections,verified
