jurisdiction_id,state,jurisdiction_level,canonical_name,external_id_namespace,external_id,id_status,authority_id,coverage_status,final_capable,election_night_capable,final_evidence_url,election_night_evidence_url,final_source_id,election_night_source_id,assessment_method,assessment_status,first_verified_at,last_verified_at,notes
us:mi:county:washtenaw,MI,county,Washtenaw,,,provisional_name,us:authority:mi:county-clerk:washtenaw-county-clerk,both,true,true,https://www.washtenaw.org/304/Elections,https://www.washtenaw.org/304/Elections,,,existing_state_capability_registry,verified,,,Current system exposes precinct pages and source timestamps; consolidated reporting-unit variants observed in 2025.
us:mi:county:wayne,MI,county,Wayne,,,provisional_name,us:authority:mi:county-clerk:wayne-county-clerk,both,true,true,https://www.waynecounty.com/elected/clerk/elections.aspx,https://www.waynecounty.com/elected/clerk/elections.aspx,,,existing_state_capability_registry,verified,,,2024 official summary reports 912 precincts and mode-separated totals; extensive race-by-precinct PDFs.
us:mi:county:oakland,MI,county,Oakland,,,provisional_name,us:authority:mi:county-clerk:oakland-county-clerk,both,true,true,https://www.oakgov.com/government/clerk-register-of-deeds/elections-voting,https://www.oakgov.com/government/clerk-register-of-deeds/elections-voting,,,existing_state_capability_registry,verified,,,Past-results portal uses county Election Reporting System and separate voter-turnout reports; needs endpoint reverse engineering.
us:mi:county:macomb,MI,county,Macomb,,,provisional_name,us:authority:mi:county-clerk:macomb-county-clerk,both,true,true,https://clerk.macombgov.org/Clerk-Elections,https://clerk.macombgov.org/Clerk-Elections,,,existing_state_capability_registry,verified,,,"Precinct Reporting Details records first report, 50% reported, and final timestamps separately for ED and AV by jurisdiction."
us:mi:county:ingham,MI,county,Ingham,,,provisional_name,us:authority:mi:county-clerk:ingham-county-clerk,both,true,true,https://clerk.ingham.org/departments_and_officials/county_clerk/elections.php,https://clerk.ingham.org/departments_and_officials/county_clerk/elections.php,,,existing_state_capability_registry,verified,,,"County index consistently publishes summary, precinct, results website, candidate/local proposal, and audit artifacts."
us:mi:county:kent,MI,county,Kent,,,provisional_name,us:authority:mi:county-clerk:kent-county-clerk,both,true,true,https://www.accesskent.com/Departments/Elections/,https://www.accesskent.com/Departments/Elections/,,,existing_state_capability_registry,verified,,,"Election database exposes contest-level precinct CSV downloads plus votes, undervotes, overvotes, total ballots cast, and registered voters."
us:mi:county:genesee,MI,county,Genesee,,,provisional_name,us:authority:mi:county-clerk:genesee-county-clerk,both,true,true,https://www.geneseecountymi.gov/departments/county_clerk/elections/index.php,https://www.geneseecountymi.gov/departments/county_clerk/elections/index.php,,,existing_state_capability_registry,verified,,,Official county election site is authoritative; classify endpoint family during live-feed pass.
us:mi:county:ottawa,MI,county,Ottawa,,,provisional_name,us:authority:mi:county-clerk:ottawa-county-clerk,both,true,true,https://www.miottawa.org/departments/county-clerk/elections/,https://www.miottawa.org/departments/county-clerk/elections/,,,existing_state_capability_registry,verified,,,Official county election site is authoritative; endpoint family still needs fingerprinting.
us:mi:county:kalamazoo,MI,county,Kalamazoo,,,provisional_name,us:authority:mi:county-clerk:kalamazoo-county-clerk,both,true,true,https://www.kalcounty.com/clerk/elections.php,https://www.kalcounty.com/clerk/elections.php,,,existing_state_capability_registry,verified,,,Current/past results portal and post-election audit links available; need inspect election-result endpoint for precinct/mode granularity.
us:mi:county:jackson,MI,county,Jackson,,,provisional_name,us:authority:mi:county-clerk:jackson-county-clerk,both,true,true,https://www.mijackson.org/170/Elections,https://www.mijackson.org/170/Elections,,,existing_state_capability_registry,verified,,,Current results and archive publish summary and precinct-by-precinct PDFs; archive extends to 1993.
us:mi:county:allegan,MI,county,Allegan,,,provisional_name,us:authority:mi:county-clerk:allegan-county-clerk,both,true,true,https://www.allegancounty.org/departments/county-clerk/elections,https://www.allegancounty.org/departments/county-clerk/elections,,,existing_state_capability_registry,verified,,,"Publishes Precinct Status, Statement of Votes Cast, summary, results-per-precinct, and canvass PDFs; current website archive goes back to 2016."
us:mi:county:barry,MI,county,Barry,,,provisional_name,us:authority:mi:county-clerk:barry-county-clerk,final_only,true,false,https://www.barrycounty.org/departments_and_officials/officials/county_clerk/elections.php,,,,existing_state_capability_registry,verified,,,Official authority known; endpoint family pending automated fingerprint.
